Name,Address,P.O.Box,Phone,Mobile,Email,Webpage,Fax,Country,City
Camellia Higher Secondary School,Kuleshwor,,"4278303,4278853",,camellia@wlink.com.np,www.nepalschools.org,,,
Campion Academy,Kumaripati,"1415,Ktm","5535131,5537959",,campion@academy.wlink.com.np,www.campion.edu.np,4423724,,
Campion International School,"Kasibari,Silguri,India",,0091-353-2574641-46,,info@campionintl.in,www.campionintl.in,,,
Campion Kathmandu Higher Secondary School,Gahanapokhari,"1415,Ktm","4431494,4431495",,ckcedu@mos.com.np,www.campion.edu.np,4423724,,
Campion School,Lagankhel,"1415,Ktm","5535087,5524543",,cschool@wlink.com.np,www.campion.edu.np,4423724,,
Canvas Boarding School,Handigaun-5,,"4438916,4438842",,,,,,
Canvas English B. H. School,NewBaneshwor,,4479136,,canvas@wlink.com.np,,,,
Canvas Int'l  College,Basundhara,,"4380304,4354280",,info@canvascollege.edu.np,www.canvascollege.edu.np,4354280,,
Capitol Hill College,Teku,,2003303,,capitolhill@wlink.com.np,,4270345,,
Cardinal International Boarding High School,Dallu,,4710073,,,,,,
Care English S. B. School,Gaushala,,4113525,,,,,,
Caribbean Higher Sec. School,Manbhawan,,"5550676,5537314",,info@caribbean.edu.np,www.caribbean.edu.np,,,
Caribbean School,Manbhawan,,5528812,,,,,,
Carmel High School,BuddhaChowk,,521020,,,,,,
Caspian Valley College,Kumaripati,8975EPC2685,"5524065,5554208",,info@caspian.edu.np,,,,
Celestial Homes School,Jorpati-4,,"4474520,4431375",,,,,,
Centennial Boarding School,Boudha,,4485312,,,,,,
Central Public Boarding School,Dhobichour,,"4258718,4216461",,centralplc_@hotmail.com,,,,
Central Public School,Nepaltar-9,,4352296,,,,,,
Century Boarding School,Baluwatar,,"4411930,4378267",,,,,,
Chahana Int'l Academy,Bhimsengola,,"4465880,4428361",,,,,,
Chahana Tri 'U' Boarding High School,Kapan,,4811753,,,,,,
Chaildren Herald Academy,Mahankal,,2074375,,,,,,
Chakra Janata Sahid Ganga Higher Secondary School,Sarlahi,,046-520227,,,,,,
Chandikaswori Eng. Sec.,Sundarijal,,4800334,,,,,,
Chandra Sanskrit Madyamik Bidyalaya,Dharan,,520243,,,,,,
Chandra Tara School,Lazimpat,,4412882,,,,,,
Chandragiri Bidhya Asharam,Thankot,,4310495,,,,,,
Charkhola Higher Secondary School,Ilam,,027-520396,,,,,,
Chaturbhujeshwor Janata Higher Secondary School,Sarlahi,,046-529018,,,,,,
Chelsea Int'l Academy And Gce A-level College,CenteralBaneshwor,2251,"4472902,4499662,",,chelsea@websurfer.com.np,,4472902,,
Chelsea International Academy,NewBaneshwor,"25201,Ktm","4472902,4499662,4483212",,chelsea@websurfer.com.np,www.chelseainternational.com.np,4482647,,
Chetana Sadan Eng. School,Kapan,,4811420,,,,,,
Chetana Vidyashram,Lamatar,,5580340,,,,,,
Chhorepatan Higher Secondary School,Chhorepatan,,460476,,,,,,
Child Nature Boarding School,Sanothimi,"20552,Ktm",6630532,,cnbs@ccsl.com.np,,,,
Children Develop Boarding School,RamBazar,,521644,,,,,,
Children Park Boarding School,Dhading,,"010-520222,520095",,,,,,
Children World Secondary School,"PaniTanki,Birgunj",,524593,,,,,,
Children's Eternal Academy,NayaBazar,,4358077,,,,,,
Children's Heaven School,Kapan,,4810259,,,,,,
Children's Heaven School,Kumaripati,,"5538328,5538621",,,SourceNPABSONSourceNPABSON,,,
Children's Model School,Baluwatar,"4747,Ktm",4438749,,cmsbaluwatar@yahoo.com,,4423396,,
Childrens Paradise Secondary Boarding School (CPS),Godawari-4,8975EPC1669,5560888,,cpsgodawari@wlink.com.np,www.nepal-schools.com,5560154,,
Chirag Higher Secondary Boarding School,Syangja,,073-460101,,,,,,
Chireshwor Janata Higher Secondary School,Dhanusha,,520107,,,,,,
Chundevi Secondary School,Thankot,,4312299,,,,,,
Chure Higher Secondary School,"Bagnaha,Bardia",,084-429512,,,,,,
CIT College & Higher Secondary School,Subidhanagar,9685,"4111840,4111655,2052677",,info@citnepal.edu.np,www.citnepal.edu.np,,,
City English School,Mahankal,,2140567,,,,,,
City Higher Secondary School,Morang,,535278,,,,,,
City Modern Montessori School,Anamnagar,,"2070859,4771485",,rp72@hotmail.com,,,,
Clinton School,Chabahil,,4471549,,,,,,
College for Higher Education,Birtamod,,"023-540016,540045",,,,,,
College of Applied Business,TangalDurbar,,4445763,,cab@wlink.com.np,www.cab.edu.np,4445763,,
College of Business & Social Studies,Morang,,525540,,,,,,
College of Business Management,"GurjuMarg,DillibazarHeight",3261,"4418869,4439716",,info@cbm.edu.np,www.cbm.edu.np,,,
Columbus College,NewBaneshwor,"23728,Ktm","4781747,4784883",,columbus@wlink.com.np,www.columbus.edu.np,,,
Columbus School,NewBaneshwor,,"4780976,4782266,4781747",,,www.columbus.edu.np,,,
Columbus School & College,NewBaneshwor,,4781747,,rajtanka@hotmail.com,,,,
Consience Int'l Academy,Mahankal,,4474765,,,,,,
Constellation Academic Garden English Boarding School,Bishalnagar,,4431683,,,,,,
Constellation School,Kapan,,2074177,,,,,,
Continental Academy,OldBaneshwor,,"4108706,9841271001",,,,,,
Conventry English Boarding School,Jorpati,,4478350,,,,,,
Corona International School,"Banasthali,DhungeDhara","1531,KTM","4880988,4880996",,school@corona.edu.np,www.corona.edu.np,,,
Cosmic International Academy,Koteshwor,,4601649,,,,,,
Cosmopolitan English B. School,Maharajgunj,,4377241,,,,,,
CPS College,Kumaripati,8975EPC2766,"5528419,5537695",,info@cps.edu.np,www.cps.edu.np,5537695,,
CPS Godawari,Godawari4,,5560818,,cpsgodawari@wlink.com.np,www.cpsgodawari.edu.np,5560154,,
CPS Higher Secondary School,Godawari,8975EPC1669,"5560888,5560818",,cpsgodawari@wlink.com.np,,5560154,,
Creative  Academy,Kritipur,,"4334107,4334123",,creativeacademy@edu.np,,,,
Creative British English School,BabarMahal,,"4256813,4258349",,,,,,
Creative English School,Chabahil,,4472091,,admin@creative.edu.np,www.creative.edu.np,,,
Creative Model Academy B. H. School,Lazimpat,,4436922,,creative@info.com.np,,,,
Crimson International College,ShankhamulChowk,,"4784628,4782414",,info@crimson.edu.np,www.crimson.edu.np,,,
Crystal Sharada,OldBaneshwor,,4470765,,,,,,
CVM Secondary School,"Gatthaghar,Bhaktapur","173,Ktm","6636290,6637375",,,,,,
D. A. V. Kedia Vishwabharati,Biratnagar,,522319,,,,,,
D. A. V. Rukmini Banarasi Kedia School,Birgunj,"43,Birgunj",522217,,,,522086,,
D. A. V. Sushil Kedia Bishwa Bharati Higher Secondary School,Jawalakhel,929,"5534426,5536626",,dav.college@gmail.com,www.davcollege.edu.np,977-1-5546440,,
D. A. V. Sushil Kedia Vishwa Bharati,"Sarlahi,Hariwon",,"046-529412,529405",,,,,,
Daffodil Boarding school,SarawatiNagar,13292,"4821723,4821824",,admin@daffodil.edu.np,www.daffodil.edu.np,4811779,,
Daffodil English School,Saptary,,033-560043,,,,,,
Daffodil Public School,"Kapan,Bekh-3",13292,"4810231,4821775",,admin@daffodil.edu.np,www.daffodil.edu.np,4811779,,
Daina Boarding School,Kapan,,"2141563,2314979",,,,,,
Dallu Awasiya Vidhyalaya,Dallu,"6151,Ktm","4670688,2013263",,,,,,
Damak Model Higher Secondary School,Damak-10,,023-580655,,,,,,
Damauli Higher Secondary School,Tanahun,,065-560362,,,,,,
Dang Valley Higher Secondary School,Dang,,082-560654,,,,,,
Darlam Danda Higher Secondary School,Palpa,,075-520341,,,,,,
Ded Raj Sewali Devi Todi D. A. V. Kedia Vishwa Bharati School,"40,SewaMarg,Birtabazar",,022-21319,,,,,,
Dedithumka Higher Secondary School,Kavrepalanchowk,,661519,,,,,,
Deep High School,Bhotebahal,,4254819,,deeplow@ntc.net.np,,,,
Deep Jyoti Bidya Mandir,Arjundhara-8,,023-540576,,,,,,
Deep Jyoti Boarding Secondary School,Gongabu,,4353677,,deep@col.com.np,,,,
Deep Kunj Secondary School,Bhainsepati,,5590581,,,,,,
Deep Sikha Boarding School,Dang,,082-560155,,,,,,
Deepika English School,Chabahil,,4481857,,,,,,
Deepika Shikshya Sadan,Kapan,,"4811002,4810914",,,,,,
Deepmala English Boarding School,Thecho,,"5570528,5571713",,,,,,
Deepshikha High School,Nayabazar,,4358380,,deepshikha@hons.com.np,,,,
Delight Kindergarten,Mahalaxmisthan,"7841,Ktm","5525053,5526632",,silversmith@infoclub.com.np,,,,
Deneb International School,NewBaneshwor,"5718,Ktm",4492338,,drpandey@wlink.com.np,,,,
Deneb International School,Kapan,,"016215877,016213960",,,,,,
Depot Secondary School,GhopaCamp,,"520094,521115",,,,,,
Desh Tilak Memorial School,Battisputali,,"4472356,4493631,2313157",,,,,,
Devachuli Higher Secondary School,Nawalparasi,,078-529506,,,,,,
Devkota Memorial Higher Secondary School,Morang,,"523419,527719,527721",,,,,,
Devkota Secondary School,Khajurgachhi-6,,023-529840,,,,,,
Devkota Secondary school,"Khajurjachhi-6,Jhapa",,9852676949,9851037577,hemkth@yahoo.com,,,Nepal,
Dhapakhel Secondary English School,Dhapakhel,,"5572246,9841268489",,,,,,
Dhapasi English B. School,Sukedhara,,4370978,,,,,,
Dharan Higher Secondary School,LaxmiSadak,,525441,,,,,,
Dharan Model School,SungavaMarg,,523426,,,,,,
Dharan Secondary Boarding School,LaxmiSadak,,520227,,,,,,
Dhaulagiri International School,Shankhamul,,4783677,,,,,,
Dhaulagiri School,Kapan,,2142868,,,,,,
Dhruba Tara Boarding High School,"Chapali,Budhanilkantha",,4375783,,dhrubatara_school@hotmail.com,,,,
Dhulikhel Sanjeevani Campus,"Dhulikhel,Kavre",,490074,,dhulikhelcampus@hotmail.com,www.collegenepal.com/dhulikhel,,,
Diamond English Medium School,Budhanilkantha,8975EPC4068,"4373785,4378105",,diamondemschool@hotmail.com,,,,
Dikshyanta Academy,Gongobu,,4354886,,,,,,
Dileshwori Higher Secondary School,Baitadi,,095-529366,,,,,,
Dipendra Police Boarding High School,Amarhat,,520992,,,,,,
Dipendra Police Boarding Higher Secondary School,Sanga,"3922,Ktm","661301,661302",,,,,,
Dipendra Police Boarding School,Dang,,"082-560039,560639",,,,,,
Dipendra Police Primary School,Samakhusi,,4356160,,,,,,
Dipendra Police Secondary Boarding School,Belchautara,"430,Tanahu",065-529343,,,,,,
Dipendra Police Secondary Boarding School,Doti,,094-429108,,,,,,
Dipsikha Boarding Higher Secondary School,"Ghorahi,Dang",,083-560155,,,,,,
Diptimaya Bal Awasiya Bidyalaya,Maharajgunj,"2069,Ktm",4418516,,,,,,
Division High School,Yengal,"5172,Ktm",4254448,,,,,,
Divya Gyan B. School,Phutung,,4353142,,gyan_bhumi@yahoo.com,,,,
Divya Gyan English Boarding High School,Tahachal,,4276061,,,,,,
Don Bosco H.S. School & College,NewBaneshwor,10736,"4781230,4782509,4780902",,,,4781974,,
Don Bosco School (Nilgiri),Biratnagar,,527801,,,,,,
Don International School,Sukedhara,,4380508,,,,,,
Dorji High School,Sinamangal,,4473913,,,,,,
Dreamland Public High School,Bagbazar,,4247602,,,,,,
Dullav Higher Secondary School,Gorkha,,064-429320,,,,,,
Dunai Boarding School,"Dunai,Dolpa",,"087-550009,4461349(Ktm)",,akhanda_dolpa@yahoo.com,,,,
Durbar High School,Ranipokhari,,4249890,,durbars@mos.com.np,,,,
Durga Bhawani Academy,Tilganga,,4471891,,paragon@info.com.np,,4495349,,
Durga Bhawani Academy,Dhumbarahi,,4425617,,,,,,
Durga Secondary School,Saptari,,031-520376,,,,,,
E. G. Pioneer School,Ittachhen,"2,Bkt",6612833,,egpioneer@enet.com.np,,,,
Eager Bridge Boarding School,"BirendraNagar,Surkhet",,083-521045,,,,,,
East Point Boarding School,Rani,,526906,,,,,,
East Pole English Secondary School,Jorpati,,"4910990,4491105",,,,,,
East Pole School,Boudha,,2142119,,,,,,
Eastern Star Secondary Boarding School,Damak-12,,023-580906,,esbs@ntc.net.np,,,,
Edify Int'l School,Kalanki,,"4276011,4271233",,info@edifyschool.edu.np,www.edifyschool.edu.np,,,
Edmund English School,Chabahil,,"4483955,4477404",,,,,,
Einstein Academy Higher Secondary School & College,MahalaxmiChowk,8975EPC719,"5530818,5544739",,krrai@wlink.com.np,www.einsteinacademynepal.com,5001755,,
Ek Jyoti School,Dharan,,520690,,,,,,
Ekata Primary School,Naradevi,,4263458,,,,,,
Ekata Sadan B. School,Anamnagar,,4770624,,,,,,
Ekata Sadan Higher Secondary School,Tangal,,"4431602,9851049505",,ekatasadanhigherss@gmail.com,www.ekatasadan.edu.np,,,
Ekita International School,Baluwatar,,4431679,,kishore_kc3@yahoo.com,,,,
Eklabya Formative English School,DeshiLine,,524957,,,,,,
Elegant Pearl English School,Balaju,,4352364,,,,,,
Elician English School,Thapagaun,,4492338,,,,,,
Elite Co-Education School,"Bhagwatibahal,Naxal","6335,Ktm","4434689,4429941",,,,4435585,,
Elixir Academy,"Kharibot,Kumarigal",,"4481840,4486865",,elixir@elixir.edu.np,www.elixir.edu.np,,,
Emerald Academy,Bhadrapur,,023-520807,,,,,,
Emerald English Secondary School,Chapagaon,,5570594,,,,,,
Emile Academy International,ShantiNagar,,"4622184,4620725,4620623",,emileacademy@yahoo.com,www.emileacademy.edu.np,,,
Erudite Academy,Lokanthali,,6632457,,,,,,
Essel World Kid's Pre School,Gyaneshwor,,4415937,,,,,,
Estimable English School,Kapan,,9841265232,,,,,,
Eternal - Light Public High School,"BahatiPokhari,Nayabazar","10697,Ktm",4358103,,,,,,
Eternal Prosperity Academy,Balaju,"1693,Ktm",4350319,,epa@hotmail.com,,,,
Eureka High School,Nepaltar,,4352296,,,,,,
Eureka High School,Koteshwor,,4491601,,,,,,
Eureka Secondary School,Dharan-4,,523941,,,,,,
Euro Kids,Tangal,"14493,Ktm",4422455,,,www.eurokidsnepal.com,,,
Everest College of Multiple Studies (ECMS),Golkopakha,"20407,Ktm","4352224,4352358",,emc@emc.edu.np,www.emc.edu.np,,,
Everest English School,"Mibachhen,Bhaktapur","3514,Ktm",6611211,,,,6611143,,
Everest Higher Sec. School,Sankhamul,,4783435,,,,,,
Everest Secondary English School,"Biratnagar-6,Morang",,524443,,,,,,
Everest Secondary School,Thaiba,,5560575,,esbschool@wlink.com.np,,,,
Everest Secondary School,Rupandehi,,541342,,,,,,
Evergreen English School,Ichangu,,"2084074,2317560",,,,,,
Eyelens English School,Dallu,,"4278169,4671756",,,,,,
Fairy Land Primary School,Lazimpat,,4427733,,,,,,
Fakirchanda Gami Higher Secondary School,Dhanusha,,521011,,,,,,
Farsatikar Higher Secondary School,Rupandehi,,529552,,,,,,
Farsawatakura Higher Secondary School,Arghakhanchi,,077-429355,,,,,,
First Step Child Care & Pre. School,Pulchowk,,"5524703,5523703",,,,,,
Fish Tail Boarding School,"Pardi,DamSide",,"461998,531116",,fishtailbs@wlink.com.np,,,,
Fluorescent Higher Secondary School,Baniatar,,"4361733,4382886",,,,,,
Forward Academy,Gongabu,,4363005,,aims2062@yahoo.com,,,,
Friendship Boarding Home,Dhobighat,,5540565,,,,,,
Future Star E. S. School,Jadibuti,,6634138,,,,,,
Future Star English Secondary School,Chagal,"4763,Ktm","4274570,4278700",,fusess@hotmail.com,www.futurestarktm.edu.np,,,
Future Star High School,Jawalakhel,,5522179,,,,,,
FW Taylor H. S. & College,Kalikasthan,,4418046,,,,,,
Gadhimai Mahendra Higher Secondary School,"Bhariyapur,Bara",,053-550180,,,,,,
Galaxy Boarding School,"Hasanpur,Kailali",,091-521363,,,,,,
Galaxy English Boarding High School,Rupandehi,,529511,,,,,,
Galaxy Public School,Gyaneshwor,,"4410076,4411362",,info@galaxy.edu.np,www.galaxy.edu.np,4416989,,
Galkot Higher Secondary School,Baglung,,068-529303,,,,,,
Gandaki Boarding School,Maitidevi,,"4439810,4414736,4439810",,,,,,
Gandaki Public B. School,"Nayabazar,Mhenpi",,4366234,,rc_bhatta@yahoo.com,,,,
Ganesh Boarding High School,Swoyambhu,"4380,Ktm",4270116,,,,,,
Ganesh English School,MadhyapurThimi,,6630570,,,,,,
Ganesh Himal Secondary School,Gongabu,,4353485,,,,,,
Ganesh Secondary School,Buddhanilkantha,,4370092,,,,,,
Ganesh Secondary School,MadhyapurThimi,,6630306,,,,,,
Ganga Secondary School,PuranoKalimati,,4282819,,,,,,
Gangchen Samling School (GS School),Boudha,"1620,Ktm",4914869,,schoolsamling@gmail.com,www.samlingschool.net,4470525,,
Garfield Academy,"Thasikhel,Lalitpur",,5534547,,,,,,
Gaukhuri Higher Secondary School,Terhathum,,026-461111,,,,,,
Gaumati Higher Secondary School,"Sidheshor,Sindhuli",,047-520136,,,,,,
Gauri Shankar Boarding School,Dolkha,,049-420383,,,,,,
Gauri Shankar High School,Bafal,,4270589,,,,,,
Gaurisankhar Higher Secondary School,RamechhapBazar,,048-520313,,,,,,
Gaurishankar Higher Secondary School,"Nijgadh,Bara",,053-529210,,,,,,
Gautam Buddha Memorial Higher Secondary School,Morang,,"526906,523056",,,,,,
Gautam High School,LaganTole,,4254504,,ghschool@wlink.com.np,,,,
Gautam High School,Parsa,,522624,,,,,,
Geetamata Secondary School,Bijeshwori,,4272351,,,,,,
Geetanjali English Secondary School (P.) Ltd.,Sorhakhutte,,"4359440,4381556",,gehss@yahoo.com,,,,
Gem Secondary,Dharan-18,,525643,,,,,,
Gems English School,NewRoadLine,,525643,,,,,,
GEMS Institute of Higher Education,"Khumaltar,Dhapakhel,Lalitpur",1794,"5003060,5003111",,gemschool@wlink.com.np,www.gems.edu.np,00977-1-5003131,,
Genesis Academy,"Boudha,BhuwalDanda",,"4460222,9851075082",,rajulama64@yahoo.com,,,,
Geneva Global School,Talchikhel,"8975,EPC966",5540684,,info@geneva.edu.np,www.geneva.edu.np,5540684,,
Genuine Secondary English School,Bhaktapur,,6612651,,genschool@wlink.com.np,,,,
Ghanteshwor Higher Secondary School,"Laxminagar,Doti",,094-429133,,,,,,
Gillette Int'l Higher Secondary Boarding School,Kalimati,"14147,Ktm",4283036,,netrasubba@yahoo.com,www.gilletteschoolandcollege.edu.np,,,
Glade Stone Academy,"MadhyapurThimi,MillRoad-2",,6631588,,gladstone@wlink.com.np,,,,
Glen Buds School,Lazimpat,"1643,Ktm","4415317,4438831",,glen@buds.enet.com.np,www.nepal-schools.com,,,
Global Higher Secondary School,Lagankhel,,"5522521,5523374,5542332",,,,,,
Godawari Vidhya Mandir Higher Secondary School,Itahari,,580748,,,,,,
Gograha Higher Secondary School,Bargachhi,,522104,,,,,,
Gokarneshwor Light Academy,Gokarneshwor,,4910179,,premkbhandary@yahoo.com,,,,
Gokarneshwor Mahadev Sec. School,Gorkarna-5,,4800602,,,,,,
Gokuleshwor Higher Secondary School,"Gokule,Darchula",,093-429303,,,,,,
Golden Future English High School,Panchkhal,,663129,,,,,,
Golden Gate English Secondary School,"Mahakalisthan(NewBlock)|Bholachhen(OldBlock),Bhaktapur-5","66,Bhaktapur",977-1-6613594,9841299271,goldengate.ess@gmail.com,www.ggess.blogspot.com,,Nepal,	Kathmandu
Golden Gate Int'l College,Battisputali,"4059,Ktm","4477082,4495165",,info@goldengate.edu.np,www.goldengate.edu.np,4466795,,
Golden Peak High School,Saraswatinagar,,4821889,,info@goldenpeak.edu.np,,,,
Golden Rays Academy,Mulpani,,4450420,,,,,,
Golden Rays English School,Dhobighat,,"5525772,2112113",,,,,,
Golden Sunrise English Secondary School,"Gauradaha-3,Jhapa",,023-529749,,,,,,
GoldenGate Int'l College,"WisdomTower,TrikutiColony,Battisputali,OldBaneshwor",4059,"4477082,4495165",,info@goldengate.edu.np,www.goldengate.edu.np,4466795,,
Gomendra Higher Secondary School,Birtamod,,023-540109,,,,,,
Good Shepherd School,Koteshwor,,4600927,,,,,,
Gopal Shikshya Sadan,Dhumbarai,,4370805,,,sourcs;Npabsan,,,
Gorakhkali English Boarding School,Balaju,,4350782,,,,,,
Gorkha United Public School,Banke,,540105,,gups@mos.com.np,,,,
Graded English Medium School (GEMS),"Khumaltar,Dhapakhel","1794,Ktm","5003060,5003111",,gemschool@wlink.com.np,www.gems.edu.np,5003131,,
Gram Adarsha Eng. School,Saraswotinagar,,4488286,,,sorcesNpabsan,,,
Gram Sikchha Secondary School,Kapan,,4820768,,,,,,
Gramin Adarsha Multiple Campus,NepalTar,"23683,Ktm","4354124,4481704/5",,,,,,
Grammar Public Higher Secondary School,Koteshwor,,4471865,,,,,,
Grand Academy College of Science & Management,Kumaripati,,"5536119,5538278",,,,,,
Grand Academy Higher Secondary School,Talchhikhel,8975EPC298,5526887,,grandedu@wlink.com.np,,,,
Grassland Montessori,"Samakhushi,TowmPlanning",,4354097,,,,,,
Great Knowledge School,Kathmandu,,4437546,,,sourcesNpabson,,,
Green Field School,Baluwatar,,4435547,,,sourcesNpabsan,,,
Green Hill High School,Pharping,,4710363,,schoolgreenhill@hotmail.com,,,,
Green Hills Academy,Baneshwor,,4494906,,,sourcesNpabsan,,,
Green Kantipur Public School,"Banasthali,Chhauni",,4890172,,gkpschool@hotmail.com,,,,
Green Land School,Dallu,,"4278700,4274570",,,sourcesNpabsan,,,
Green Lawns Academy,Balkhu,"10574,Ktm",4331708,,,sourcesNpabsan,,,
Green Peace Academy,Ganabahal,,4253601,,gpa@enet.com.np,,,,
Green Star English School,Kapan,,"4811753,4810870,4811499",,,sourcesNpabsan,,,
Green Village Education Foundation,Kritipur,,4335265,,,,,,
Green Village Secondary School,Kirtipur,,4332450,,,,,,
Green Wich Academy,Pepsicola,,"4990039,4991230",,,,,,
Greenland Children's Academy B. H. School,"Samakhushi,TownPlanning",,4363874,,gca@subisu.net.np,www.gca.edu.np,,,
Greenland Int'l Secondary Boarding School,Dhapasi-4,"4983,Ktm",4355446,,greenlands@wlink.com.np,www.greenland.edu.np,,,
Guheshwari Boarding High School,Bansbari,"977,Ktm",4372873,,,,,,
Guheshwori Balshishya Secondary School,Thapathali,,4257688,,,,,,
Gurukul Open School,Pulchowk,,"5529367,2114252",,,,,,
Gurukul Primary School,Bafal,,"4301017,4270266",,gurukulschool@wlink.com.np,,,,
Gurukul Public School,Balaju,,2172857,,,,,,
Gyan Bigyan Higher Secondary School,Lagankhel,,"5528970,5552860",,info@gbhss.edu.np,www.gbhss.edu.np,5552860,,
Gyan Jyoti Academy Secondary Boarding School,Bansbari,,4377594,,,,,,
Gyan Jyoti Higher Secondary School,Birgunj,,521051,,,,,,
Gyan Jyoti School,Kumarigal,,4484656,,,,,,
Gyan Jyoti Secondary School,Dang,,082-521227,,,,,,
Gyan Mandir Secondary School,Balaju,,4350065,,,,,,
Gyan Niketan Secondary English School,Shankhamool,"13131,Ktm","4783756,4783688",,gniketan@wlink.com.np,www.gyaanniketan.edu.np,,,
Gyan Punj B. School,Chappalkarkhana,,4374249,,,sourcesNpabsan,,,
Gyan Sindhu Higher Secondary School,Dang,,082-560684,,,,,,
Gyan Sudha Academy,Thithan-6,,4310347,,,,,,
Gyana Mandir English School,Balaju,,4350065,,,,,,
Gyanada Madhyamik Vidyalaya,Hetauda,,521357,,,,,,
Gyandeep Shiksha Sadan,Gaurinagar-7,,4476589,,gyandeep@hotmail.com,sourcesNpabsan,,,
Gyandeep Shikshya Sadan,Gongobu,,9841318676,,,,,,
Gyanjyoti English Boarding School,Lahachowk,,"529350,9856023731",,gchuda_sanu@hotmail.com,,,,
Gyanjyoti Secondary School,"Gauradaha,Jhapa",,023-529702,,,,,,
Gyankunj Higher S. School,Ravibhawan,,"4272831,4272334,4272330",,gyankunj@hotmail.com,,4270133,,
Gyankunja Secondary Boarding School,Sarlahi,,046-520622,,,,,,
Gyanmala English High School,Boudha-6,"21035,Ktm","4821756,4477093",,gyanmala_school@hotmail.com,,,,
Gyanmala English School,Bijulibazar,,4780800,,,,,,
Gyanodaya Bal Batika Boarding School,Hetauda,,521353,,,,,,
Gyanodaya Bal Batika School,Sanepa,,5521741,,gbbs@wlink.com.np,www.gyanodaya.com,5527698,,
Gyanodaya English Boarding School,Dharan,,521163,,,,,,
Gyanodaya Higher Secondary School,Gulmi,,079-529244,,,,,,
Gyanodaya Madhyamik Vidhyalaya,Dharan-11,,520560,,,,,,
Gyanodaya Secondary School,PuranoKalimati,,"4270155,4282772",,,,,,
Gyanodaya Secondary School,PindeswariChowk,,521214,,,,,,
Gyanodaya Secondary School,Baidam,,521204,,,,,,
Gyansarovar Secondary Boarding School,Banepa,,661814,,,,,,
Gyanu Baba Secondary Boarding School,Bagar,"118,Pkr","521497,534485",,,,,,
Hamro Sunshine School,Gaurighat,,4486565,,,sourcesNpabsan,,,
Hamro Vidya Griha,Baphal,,4281558,,,,,,
Hanumanteshwor Higher Secondary School,Dolkha,,049-429161,,,,,,
Happy Boarding School,Bagar,,521905,,,,,,
Happy Hut Kindergarten,Tahachal,,4273462,,,,,,
Happyland Secondary School,"Rajbiraj,Saprari",,031-520160,,,,,,
Haraiya Higher Secondary School,Rupandehi,,521144,,,,,,
Harati English School,Thamel,,4260599,,,,,,
Harihar Sanskrit & Sadharan Higher Secondary School,Arghakhanchi,,077-429355,,,,,,
Harikul Namuna Higher Secondary School,Surunga,,023-529219,,,,,,
Harinagar Higher Secondary School,Sunsari,,529011,,,,,,
Harman Minor Higher Secondary School,Kaski,,524569,,,,,,
Headway E. M. School,Ratopul,,4434614,,,sourcesNpabsan,,,
Heartland Children Academy,Bafal,,4278135,,bishnu4340@yahoo.com,,,,
Hebron Public School,Koteshwor,,4601291,,,,,,
HEMS School,Ratopul,,"4491236,4492148",,hemsschool@gmail.com,,,,
Herald International Boarding School,Patandhoka,"4106,Ktm",5529648,,brl@herald.wlink.com.np,,,,
Heritage High Academy,Chabahil,,4487962,,,,,,
Heritage Int'l Education,Putalisadak,"8975,EPC#5710",4221137,,info@heritage.edu.np,,4220161,,
Hilari English School,Kapan,,"2074094,4810158",,,sourcesNpabsan,,,
Hilbert International College,Kamladi,,"4221875,4251409",,info@hic.edu.np,ww.hic.edu.np,,,
Hill Top English Boarding School,Chapagaon,,"5570980,5570515",,nepalaya.new@gmail.com,,,,
Hill Town International High School,Kirtipur,,4331739,,,,,,
Him Rashmi H. School,Manamaiju,,4026296,,,,,,
Him Shikhar Boarding School,Nala,,664135,,,,,,
Himal Darshan Higher Secondary School,Solukhumbhu,,038-621220,,,,,,
Himalaya Boarding School,Budhanilkantha,,4374668,,,,,,
Himalaya College,Siphal,"24502,Ktm","4471579,4472879",,hvm@wlink.com.np,,,,
Himalaya Higher Secondary School,Darchula,,093-429357,,,,,,
Himalaya Higher Secondary School,Gulmi,,079-529398,,,,,,
Himalaya Int'l Model Higher Secondary School (HIMS),Jorpati,"6646,Ktm","4910580,4910581",,hims@ntc.net.np,www.himsschool.com,4912176,,
Himalaya Int'l Model Hr. Sec. School,Jorpati,,4910581,,hims@ntc.net.np,,,,
Himalaya Int'l School,Kapan,,9851042042,,,,,,
Himalaya Secondary School,Dugambahil,,"4257617,4221540",,,,,,
Himalayan Academy,Kirtipur,,"4333456,2022184",,,sourcesNpabsan,,,
Himalayan Boarding School,Dallu,,9741005990,,,,,,
Himalayan College for Learning Excellance,Handigaun,,"4431670,6912770",,hicole@wlink.com.np,www.hicole.edu.np,,,
Himalayan English Academy Higher Secondary School,"Bahundangi,Jhapa",,023-560066,,,,,,
Himalayan Heart Academy,Dhapasi,,4370581,,,,,,
Himalayan Higher Secondary School,Gulmi,,079-529398,,,,,,
Himalayan International Ideal School,Dhobighat,8975EPC999,5531873,,,,,,
Himalayan Open School,OldBaneshwor,,4476685,,,,,,
Himalayan Vidhya Mandir H. Sec. School,"Kalopul,Shifal",,4471579,,hvm@wlink.com.np,,,,
Himalayan White House Int'l College,NewBaneshwor,"9026,Ktm","4487562,4494138",,info@whitehouse.edu.np,www.whitehouse.edu.np,4474851,,
