Name,Address,City,Country,Phone,P.O.Box,Email,Mobile,Webpage,Fax,Updatedon
Gandaki Medical College,PrithiviChowk,Pokhara,Nepal,"538595,526044,207130",,admin@gmc.edu.np,,www.gmc.edu.np,	550254,2009-11-07
Gandaki Medical College,KathmanduContact,Kathmandu,Nepal,00977-1-4371153,,ktm@gmc.edu.np,00977-9851119676,,	00977-1-4371153,2011-01-15
Garnish School fo Hospitality Management,dhapasi,Kathmandu,Nepal,"00977-1-4381005,2297876",,info@gshm.edu.np,,www.gshm.edu.np,,2011-09-06
Gateway College for Professional Studies,Samakhushi,Kathmandu,Nepal,"00977-1-4361747,4389083",8973NPC690,email@professionalstudies.edu.np,,www.professionalstudies.edu.np,	00977-1-4414046,2009-11-15
Gauradaha Campus,"Gauradaha,Jhapa",Jhapa,Nepal,023-529744,,,,,,2009-11-07
Gauri Shanker Campus,"Charikot,Dolkha",Charikot,Nepal,049-420124,,,,,,2009-11-07
Gauri Shanker Campus,Ramechap,Ramechhap,Nepal,048-520321,,,,,,2009-11-07
Gauri Shanker Campus,Pokhara,Pokhara,Nepal,061-521637,,,,,,2009-11-07
Gauri Shanker Yadav Campus,"Gaur,Rautahat",Gaur,Nepal,055-520327,,,,,,2009-11-07
Gauriganj Campus,"Gauriganj,Jhapa",Jhapa,Nepal,023-529844,,,,,,2009-11-07
Gautam Buddha Faculty of Environment Science,KediaSewaGram,Birgunj,Nepal,"051-528793,522092",,kedia@atcnet.com.np,,,	051-522086,2009-11-07
Geomatic Institute of Technology,NewBaneshwor,Kathmandu,Nepal,"00977-1-4784559,9841374670",,himalayangeomatic@gmail.com,,www.surveycollegenepal.com,,2009-11-07
Gillette College,Kalimati,Kathmandu,Nepal,"00977-1-4283036,4279521","14147,Ktm",gillette@wlink.com.np,,www.gilletteschool.edu.np,,2010-07-05
Global Academy of Tourism & Hospitality Education,Mandikhatar,Kathmandu,Nepal,"00977-1-4375326,4376048,4650176","9562,Ktm",info@gate.edu.np,00977-9803001633,www.gate.edu.np,	00977-1-4781139,2009-11-07
Global College International,Kamaladi,Kathmandu,Nepal,"00977-1-4251409,4221875,4254866",,info@gci.edu.np,00977-9803420672,www.gci.edu.np,,2011-02-19
Global College of Management,Mid-Baneshwor,Kathmandu,Nepal,"00977-1-4488312,4475254","24855,,Ktm",info@proed.edu.np,,www.globalcollege.edu.np,	00977-1-4472083,2009-11-07
Golden Gate Int'l College,OldBaneshwor,Kathmandu,Nepal,"00977-1-4477082,4495165","4059,Ktm",info@goldengate.edu.np,,www.goldengate.edu.np,	00977-1-4466795,2009-11-07
Golden Park College,Biratnagar-4,Biratnagar,Nepal,021-462344,,,9852030416,,,2010-08-09
Goldengate Int'l College,Battisputali,Kathmandu,Nepal,"00977-1-4477082,4495165","4059,Ktm",info@goldengate.edu.np,,www.goldengate.edu.np,	00977-1-4466795,2009-11-07
Gorkha Campus,Gorkha,Gorkha,Nepal,064-420233,,,,,,2009-11-07
Gramin Adarsha Multiple Campus,NepalTar,Kathmandu,Nepal,"00977-1-4354124,4481704/5","23683,Ktm",,,,,2009-11-07
Grammar College,Koteshwor,Kathmandu,Nepal,"00977-1-4471865,4488367",,gpss@wlink.com.np,,www.gpss.edu.np,,2010-09-30
Grand Academy,Lalitpur,Kathmandu,Nepal,00977-1-5536119,,,,,,2009-11-07
Greenfield National School,Bafal,Kathmandu,Nepal,"00977-1-4670816,4287765",,,,,,2009-11-07
Greenford I*nternational University,NewBaneshwor,Kathmandu,Nepal,"00977-1-4780341,4784261","2550,Ktm",info@giu.edu.np,,www.giu.edu.np,,2010-08-19
GS College,Kalimati,Kathmandu,Nepal,00977-1-4672431,,,,,,2010-06-01
Gunaraj Pathak Memorial Nursing Campus,Baluwatar,Kathmandu,Nepal,"00977-1-4437491,4418768,4420591","10679,Ktm",info@gpmnursing.edu.np,,www.gpmnursing.edu.np,,2011-07-11
Gupteshwor Campus,Parbat,Parbat,Nepal,067-420145,,,,,,2009-11-07
GuruKul CA,"Bagbazar,Kathmandu",Kathmandu,Nepal,00977-1-01-4251324,,,00977-9841731204,www.gurukulca.com,,2018-03-08
Gyanodaya College,Jhamsikhel,Lalitpur,Nepal,5521120,,,,,,2009-11-07
Hajarijanak Vidhyapeeth,Dhanusha,Janakpur,Nepal,041-520665,,,,,,2009-11-07
Halifax College,Minbhawan,Kathmandu,Nepal,00977-1-4106172,,info@halifaxnepal.com,,www.halifaxnepal.com,,2010-01-24
Hams Nursing College,Buddhanagar,Kathmandu,Nepal,"00977-1-4786111,6224747","3832,Ktm",info@hamshospital.org,,www.hamsnursingcollege.edu.np,,2010-08-05
Hanumanteswor Campus,Dolkha,Charikot,Nepal,049-429161,,,,,,2009-11-07
Harihar Sanskrit Vidhyapeeth,Arghakhanchi,Arghakhanchi,Nepal,077-429356,,,,,,2009-11-07
Harikhetan Campus,"Birgunj,Parsa",Birgunj,Nepal,522961,,,,,,2009-11-07
Harvard International College,Bafal,Kathmandu,Nepal,"00977-1-4284666,4278632",,,,,,2009-11-07
Henry Ford International College,Kalanki,Kathmandu,Nepal,"00977-1-4275203,4273159,4288338","2089,Ktm",info@henryford.edu.np,,www.henryford.edu.np,	00977-1-4430476,2015-09-25
Herald College,Handigaon,Kathmandu,Nepal,"00977-1-4010120,4010121",,info@heraldcollege.edu.np,00977-9801022637,,,2018-01-24
Herald International College,Basundhara,Kathmandu,Nepal,"00977-1-4390835,4390836",,heraldcollege1@gmail.com,,www.heraldcollege.edu.np,,2017-07-07
Hetauda Campus,Hetauda,Hetauda,Nepal,520453,,,,,	529303,2009-11-07
Hetauda School of Management,Makawanpur,Hetauda,Nepal,520766,,,,,,2009-11-07
Hillside College of Engineering,Balkumari,Lalitpur,Nepal,5147207,"12865,Ktm",,"9802027974,9802068436",www.hillside.edu.np,,2015-09-27
Himala Darshan Campus,Solukhumbhu,Solukhumbu,Nepal,038-621220,,,,,,2009-11-07
Himalaya College,Koteshwor,Kathmandu,Nepal,"00977-1-4600320,4600518,4600295",,,,,,2010-07-25
Himalaya College of Engineering,Chyasal-9,Lalitpur,Nepal,"5540555,5554227",,info@hcoe.edu.np,,www.hcoe.edu.np,,2009-11-07
Himalayan College,Koteshwor,Kathmandu,Nepal,"00977-1-4600320,4600518,4600295",,,,,,2011-07-01
Himalayan College for Learning Excellence,Putalisadak,Kathmandu,Nepal,00977-1-4431670,"4827,Ktm",hicole@wlink.com.np,,www.hicole.edu.np,,2009-11-07
Himalayan College of Agricultural Sciences & Technology (HICAST),Gatthaghar,Kathmandu,Nepal,"00977-1-6630762,6636047,6632293","5535,Ktm",hicast@wlink.com.np,,www.hicast.edu.np,	00977-1-6630762,2009-11-07
Himalayan College of Engineering,Chyasal,Kathmandu,Nepal,"00977-1-5540555,5554287",,info@hcoe.edu.np,,www.hcoe.edu.np,,2017-09-05
Himalayan Institute of Science & Technology,NewBaneshwor,Kathmandu,Nepal,"00977-1-4784951,4784954","9639,Ktm",hist@wlink.com.np,,www.hist.edu.np,	00977-1-4784954,2009-11-07
Himalayan Nursign College,Gwarko,Lalitpur,Nepal,"5203551,2230095",,,,,,2010-09-08
Himalayan Open College,OldBaneshwor,Kathmandu,Nepal,00977-1-4476685,,,,,,2009-11-07
Himalayan WhiteHouse International College,Khumaltar,Kathmandu,Nepal,00977-1-5552376,,info@whitehousegsm.edu.np,00977-9843207064,www.whitehousecmt.edu.np,,2017-09-05
Hiralal Campus,Thahity,Kathmandu,Nepal,00977-1-4230705,,,,,,2009-11-07
Hope International College,Satdobato,Lalitpur,Nepal,"5151867,5151936",8975EPC1365,info@hopecollege.edu.np,,hopecollege30@gmail.com,	5151222,2009-11-07
ICHM Lalitpur College,Kupondole,Lalitpur,Nepal,"5520993,5552676",,info@ichmlalitpur.edu.np,9810303138,www.ichmlalitpur.edu.np,,2015-11-08
IEC College of Art & Fashion,BishalnagarChowl,Kathmandu,Nepal,"00977-1-4247475,4432178",,iekn@rediffmail.com,,,,2009-11-07
IEC School of Art & Fashion,BishalnagarChowk,Kathmandu,Nepal,"00977-1-4247475,4247528",,ieckn@rediffmail.com,,www.iecsaf.com,	00977-1-4247528,2009-11-07
IEC School of Art & Fashion,Chipledhunga,Pokhara,Nepal,061-522136,,,,www.iecsaf.com,,2009-11-07
IEC School of Art & Fashion,MainRoad,Biratnagar,Nepal,051-521330,,,,,,2009-11-07
IEC School of Art & Fashion,StationRoad,Janakpur,Nepal,041-523841,,,,,,2009-11-07
IEC School of Art & Fashion,Bhairahawa,Bhairahawa,Nepal,071-540109,,,,,,2009-11-07
IIMS College,Dhobidhara,Kathmandu,Nepal,"00977-1-4436383,4437318",,info@iimscollege.edu.np,,www.iimscollege.edu.np,,2016-11-25
IIST College,Sinamangal,Kathmandu,Nepal,"00977-1-4110544,2239730",,info@iistnepal.com,,www.iistnepal.com,,2010-07-07
Indreni College,Bharatpur,Chitwan,Nepal,056-525246,,info@indrenicollege.edu.np,,www.indrenicollege.edu.np,,2015-09-25
Indreswor Campus,Panauti,Banepa,Nepal,011-661322,,,,,,2009-11-07
Infomax College of Information Technology & Management,Ranipauwa,Pokhara,Nepal,535735,,mail@icitm.edu.np,,www.icitm.edu.np,	521342,2009-11-07
"Institute of Advanced Communication, Education & Research (IACER)",OldBaneshwor,Kathmandu,Nepal,"00977-1-4471915,4467528,4490658","21959,Ktm",iacer@wlink.com.np,,www.iacer.edu.np,,2009-11-07
Institute of Banking & Management Studies (IBM),Bagbazar,Kathmandu,Nepal,"00977-1-4259955,4241994",,info@ibmstudies.com.np,00977-9851111347,www.ibmstudies.com.np,,2010-01-12
Institute of Engineering,Pulchowk,Lalitpur,Nepal,"5521251,5521531","1915,Ktm",cesioe@healthnet.org.np,,,	5525830,2009-11-07
Institute of Forestry,Pokhara,Pokhara,Nepal,061-521563,,,,,,2009-11-07
Institute of Management Studies (IMS),Thapathali,Kathmandu,Nepal,"00977-1-4253250,2030239,4102096","215,Ktm",,,,,2009-11-07
Institute of Medicine,Maharajgunj,Kathmandu,Nepal,"00977-1-4418187,4410911,4412040","1524,Ktm",iomdean@iom.edu.np,,,	00977-1-4418186,2009-11-07
Institute of Modern Studies,Naxal,Kathmandu,Nepal,00977-1-4427440,,,00977-9849512443,,,2015-12-03
Institute of Open Learning,Bijulibazar,Kathmandu,Nepal,00977-1-4487086,8975EPC5237,,,,	00977-1-4490630,2009-11-07
Intensive International Academy,Kalimati,Kathmandu,Nepal,00977-1-4278342,,,,,,2011-08-24
Intensive International College,Teku,Kathmandu,Nepal,00977-1-4242319,,,,,,2009-11-07
International Center For Academics (Indira Gandhi National Open University),Gyaneshwor,Kathmandu,Nepal,"00977-1-4445540,2042289",,ica@ica.edu.np,,www.ica.edu.np,,2009-11-07
International Open Universities Study Pvt. Ltd.,Putalisadak,Kathmandu,Nepal,"00977-1-4418019,2004321",15142KPC320,iousltd@gmail.com,,www.dlpnepal.com,,2009-11-07
International School of Advance Studies,Minbhawan,Kathmandu,Nepal,00977-1-4620165,8973NPC290,isasktm@gmail.com,00977-9849230935,www.isas.edu.np,,2010-01-16
International School of Management and Technology,Tinkune,Kathmandu,Nepal,"00977-1-4485278,448579",,info@ismt.edu.np,,www.ismt.edu.np,,2011-10-17
IOM-CPSP Linkage Programme (T.U. Institute of Medicine),Maharajgunj,Kathmandu,Nepal,00977-1-4416224,"2758,Ktm",cpsp@healthnet.org.np,,,	00977-1-4416224,2009-11-07
Islington College,KamalPokhari,Kathmandu,Nepal,"00977-1-4412929,4420054",,info@islington.edu.np,,www.islington.edu.np,,2009-11-07
ismt college,Tinkune,Kathmandu,Nepal,"00977-1-4485278,4485279",,info@ismt.edu.np,,,,2017-09-17
Jagannath Multiple Campus,Gothalapani,Baitadi,Nepal,"095-520170,520570",,,,,,2011-04-05
Jana Adarsha Campus,Thimi,Bhaktapur,Nepal,6633733,,grthimi@hotmail.com,,,,2009-11-07
Jana Bhawana Campus,bajrabarahi-10,Kathmandu,Nepal,"00977-1-5570512,5574794",,janabhawanacampus@gmail.com,,www.janabhawana.edu.np,,2009-11-07
Jana Jyoti Campus,Mahendranagar,Kanchanpur,Nepal,099-523831,,,,,,2009-11-07
Janajyoti Campus,"Lalbandi,Sarlahi",Sarlahi,Nepal,"046-529000,529113",,,,,,2009-11-07
Janaki Medical College Teaching Hospital,Janakpur,Janakpur,Nepal,"041-520559,620205",,info@jmcedu.com,9841316484,,,2009-11-07
Janakpur Campus,"Janakpur,Dhanusha",Janakpur,Nepal,"520191,521087",,,,,,2009-11-07
Janakpur Engineering College,Janakpur,Janakpur,Nepal,041-525646,,,,,,2009-11-07
Janakpur Engineering College,Tathali,Bhaktapur,Nepal,5091616,,jec015091615@gmail.com,,www.jec.edu.np,,2016-08-28
Janamaitri Multiple Campus,Kuleshwor,Kathmandu,Nepal,"00977-1-4277202,4286283,4031003",,info@janamaitricampus.org,,www.janamaitricampus.org,	00977-1-4286283,2009-11-07
Janapriya Multiple Campus,Simalchaur,Pokhara,Nepal,"061-522287,531822,535287",,,,,,2009-11-07
Janata Adarsha Multiple Campus,Morang,Biratnagar,Nepal,021-523900,,,,,,2009-11-07
Janata Bahumukhi Campus,Itahari,Dharan,Nepal,025-580064,,,,,,2009-11-07
Janata Campus,Punarbas,Kanchanpur,Nepal,099-529202,,,,,,2009-11-07
Janata Law Campus,Biratnagar,Biratnagar,Nepal,021-523900,,,,,,2009-11-07
Janata Multiple Campus,"Itahari,Sunsari",Dharan,Nepal,025-581300,,,,,,2009-11-07
Janata Sudarshan Campus,Parbat,Parbat,Nepal,067-420322,,,,,,2009-11-07
Janata Vidhyapeeth,Dang,Dang,Nepal,082-521107,,,,,,2009-11-07
Jaya Prithvi Campus,Bajhang,Bajhang,Nepal,092-421075,,,,,,2009-11-07
John Bauer College,Kumaripati,Lalitpur,Nepal,"5537695,5528419",,,9803085696,,,2011-02-02
Jubilant College,Kalimati,Kathmandu,Nepal,"00977-1-4272511,4272725","26234,Ktm",info@jubilantcollege.edu.np,,www.jubilantcollege.edu.np,,2009-11-07
Jumla Campus,Jumla,Jumla,Nepal,"087-529315,529311",,,,,,2009-11-07
Jwala Prasad Shyo Bai Devi Murarka Campus,Lahan,Siraha,Nepal,033-560252,,,,,,2009-11-07
K & K College,NewBaneshwor,Kathmandu,Nepal,"00977-1-4474557,4497515","1251,Ktm",info@kandk.edu.np,,www.kandk.edu.np,,2015-09-25
Kadambari Memorial College,Shankhamul,Kathmandu,Nepal,"00977-1-2030346,4782982",15142KPC395,nepalschoolofsocialwork@hotmail.com,,www.nepalschoolofsocialwork.org,	00977-1-4474800,2009-11-07
Kailali Mulitple Campus,Dhangadi,Kailali,Nepal,"091-521223,521122",,,,,,2009-11-07
Kalika Campus,Rambazar,Pokhara,Nepal,061-524385,,,,,,2009-11-07
Kamana International College,Banasthali,Kathmandu,Nepal,"00977-1-4880422,4880419",,kicn@wlink.com.np,,www.kic.edu.np,,2010-08-02
Kankai Campus,"Birtamod,Jhapa",Jhapa,Nepal,"023-540095,540055",,,,,,2009-11-07
Kantipur City College,Putalisadak,Kathmandu,Nepal,"00977-1-4430239,4437093","12837,Ktm",admin@kcc.edu.np,,www.kcc.edu.np,	00977-1-4441417,2009-11-07
Kantipur College,NewBaneshwor,Kathmandu,Nepal,"00977-1-4783619,4785627",,,,,,2009-11-07
Kantipur College of Management & Information Technology,Mid-Baneshwor,Kathmandu,Nepal,00977-1-4479939,"19344,Ktm",kcmit@wlink.com.np,,www.kcmit.domainvaled.com,,2009-11-07
Kantipur College of Technical Sciences,Dhumbarahi,Kathmandu,Nepal,00977-1-4373577,,,,,,2010-08-04
Kantipur Dental College Teaching Hospital & Research Center,Dhapasi,Kathmandu,Nepal,"00977-1-4385910,4385911",,kdch@wsn.com.np,,,,2010-08-15
Kantipur Hotel Management & Interior Designer College,Buddhanagar,Kathmandu,Nepal,"00977-1-4780564,4783904",,khmc@wlink.com.np,,,	00977-1-4785214,2009-11-07
Kantipur International College,Buddhanagar,Kathmandu,Nepal,"00977-1-4780564,4783904",,info@katipurinternational.edu.np,,www.kantipurinternational.edu.np,,2011-06-19
Kantipur Valley College,Kumaripati,Lalitpur,Nepal,"5538233,5541341",8975EPC2310,info@kvc.com.np,9851007598,www.kvc.com.np,	5538832,2009-11-07
Kanya Campus,Biratnagar,Biratnagar,Nepal,523270,,,,,,2009-11-07
Kanya Campus,Pokhara,Pokhara,Nepal,522256,,,,,,2009-11-07
Kanya Multiple Campus,Dillibazar,Kathmandu,Nepal,"00977-1-4418118,4417130",,,,,,2009-11-07
Kapilvastu Multiple Campus,Taulihawa,Kapilvastu,Nepal,"076-560329,560181",,,,,,2009-11-07
Karnali College of Health Science,Gaushala,Kathmandu,Nepal,"00977-1-4470205,4470906","9948,Ktm.",info@karnalicollege.edu.np,00977-9851038029,www.karnalicollege.edu.np,,2009-11-07
Kathmandu Academy Society of International Studies,SanoGaucharan,Kathmandu,Nepal,00977-1-4410235,,info@ktm.edu.np,,www.ktm.edu.np,,2009-11-07
Kathmandu BernHardt College,Bafal,Kathmandu,Nepal,"00977-1-4672506,4672507",,info@kathbernhardt.edu.np,,www.kathbernhardt.edu.np,	00977-1-4036279,2009-11-07
Kathmandu BernHardt Higher Secondary School,BalkhuChowk,Kathmandu,Nepal,"00977-1-4036106,4036107",,info@bernhardt.edu.np,,www.bernhardt.edu.np,	00977-1-4036279,2014-01-13
Kathmandu Business School,Pingalsthan,Kathmandu,Nepal,"00977-1-4494763,4471787",,,,,,2009-11-07
Kathmandu Campus,Thapathali,Kathmandu,Nepal,00977-1-4253250,"215,Ktm",,,,	00977-1-4253250,2009-11-07
Kathmandu Campus,Birgunj,Birgunj,Nepal,"522122,523822",,info@kathmanducampus.edu.np,,www.kathmanducampus.edu.np,,2009-11-07
Kathmandu College of Management,Gwarko,Lalitpur,Nepal,"5201997,5200746","11154,Ktm",kcm@kcm.edu.np,,www.kcm.edu.np,	5201434,2009-11-07
Kathmandu College of Science & Technology,Kalimati,Kathmandu,Nepal,"00977-1-4284902,4276130","3928,Ktm",info@keckist.edu.np,,www.keckist.edu.np,	00977-1-4272653,2010-09-02
Kathmandu Don Bosco College,Lazimpat,Kathmandu,Nepal,"00977-1-4430025,4424289",,info@kdbc.edu.np,00977-9860006114,www.kdbc.edu.np,,2015-03-15
Kathmandu Education Campus,RamshahPath,Kathmandu,Nepal,00977-1-4230240,,,,,,2009-11-07
Kathmandu Engineering College,Kalimati,Kathmandu,Nepal,"00977-1-4284902,4276130","3928,Ktm",info@keckist.edu.np,,www.keckist.edu.np,	00977-1-4272653,2009-11-07
Kathmandu Forestry College (KAFCOL),Koteshwor,Kathmandu,Nepal,"00977-1-4600343,4602305","9594,Ktm",kafcol@wlink.com.np,,www.kafcol.edu.np,	00977-1-4602305,2009-11-07
Kathmandu Institute of Technology,Sankhamul,Kathmandu,Nepal,"00977-1-4781481,4783903","8638,Ktm",kit@wlink.com.np,,,,2009-11-07
Kathmandu Medical College,Sinamangal,Kathmandu,Nepal,"00977-1-4469064,4476152","21266,Ktm",kmc@enet.com.np,,www;kmc.edu.np,	00977-1-4477920,2009-11-07
Kathmandu Medical College,Duwakot,Kathmandu,Nepal,"00977-1-6616781,9841484422",,kmc@healthnet.org.np,,www.kmc.edu.np,	00977-1-6616568,2009-11-07
Kathmandu Model College,Balkumari,Lalitpur,Nepal,"5201331,5201334","4470,Ktm",info@ktmmodelcollege.edu.np,,www.kathmandumodelcollege.edu.np,	4269774,2009-11-07
Kathmandu Pragya Kunja College,NayaBaneshwor,Kathmandu,Nepal,00977-1-4493198,8973NPC870,,,,,2009-11-07
Kathmandu School of Law (KSL),Tinkune,Kathmandu,Nepal,"00977-1-2042268,4496673",,,,,,2009-11-07
Kathmandu School of Law (KSL),Dadhikot,Kathmandu,Nepal,"00977-1-6634455,6634663",,info@ksl.edu.np,,www.ksl.edu.np,	00977-1-6634801,2009-11-07
Kathmandu School of Management,Manbhawan,Kathmandu,Nepal,"00977-1-5528812,5533543","6250,Ktm",info@kusom.edu.np,,www.kusom.edu.np,	00977-1-5533543,2009-11-07
Kathmandu School of Public Affairs Management,NewBaneshwor,Kathmandu,Nepal,00977-1-4486571,,info@kaspam.edu.np,00977-9841461186,www.kaspam.edu.np,,2011-06-26
Kathmandu University,Dhulikhel,Banepa,Nepal,"661399,661511",,info@ku.edu.np,,www.ku.edu.np,	661443,2009-11-07
Kathmandu University Centre for Art & Design,Mandikhatar,Kathmandu,Nepal,00977-1-16916628,"21990,Ktm",kuart@wlink.com.np,,www.kuart.edu.np,,2009-11-07
Kathmandu University College of Technology Science,Manbhawan,Kathmandu,Nepal,"00977-1-5528812,5533543",,,,,,2009-11-07
Kathmandu University School of Education,Balkumari,Kathmandu,Nepal,"00977-1-5548104,5544077,5544078Ext326",,info@kusoed.edu.np,,www.kusoed.edu.np,	00977-1-5533814,2010-12-04
Kathmandu University School of Management,Balkumari,Kathmandu,Nepal,"00977-1-5548891,5544077,5544078",,info@kusom.edu.np,,www.kusom.edu.np,	00977-1-5533814,2009-11-07
Kavre Campus,"Banepa,Kavre",Banepa,Nepal,661133,,,,,,2009-11-07
KDBC Business School,Koteshwor,Kathmandu,Nepal,"00977-1-4602396,6914739,6915129",,info@kdbc.edu.np,,www.kdbc.edu.np,	00977-1-4602396,2010-08-10
KFA Business School,MidBaneshwor,Kathmandu,Nepal,00977-1-4491414,,info@kfaltd.com,,www.kfaltd.com,,2011-05-30
Khwopa College,Bhaktapur,Kathmandu,Nepal,"00977-1-6610932,6618031",,info@khwopacollege.edu.np,,www.khwopacollege.edu.np,	00977-1-6615916,2010-09-18
Khwopa Engineering College,Bhaktapur,Kathmandu,Nepal,"00977-1-6614794,6614798","84,Bkt",khec@wlink.com.np,,,,2009-11-07
King's College,OldBaneshwor,Kathmandu,Nepal,"00977-1-4471162,4494865",8973NPC122,info@kingscollege.edu.np,00977-9851028028,www.kingscollege.edu.np,,2009-11-07
Kings College,BabarMahal,Kathmandu,Nepal,"00977-1-4224520,4224574,4225909",,info@kingscollege.edu.np,,www.kingscollege.edu.np,,2014-01-09
KIST College,Kamalpokhari,Kathmandu,Nepal,"00977-1-4434990,4434178","3928,Ktm",info@kist.edu.np,,www.kist.edu.np,,2009-11-07
Kits College of Nursing,Buddhanagar,Kathmandu,Nepal,00977-1-4782283,"21042,Ktm",kits@info.com.np,,,,2009-11-07
KITS College/HIC,Kamaladi,Kathmandu,Nepal,"00977-1-4221875,4251409",,,,,,2009-11-07
Koshi Campus,Morang,Biratnagar,Nepal,528537,,,,,,2009-11-07
Koshi St. James College,Itahari,Dharan,Nepal,025-587004,,koshicollege@koshistjames.edu.np,,www.koshistjames.edu.np,,2011-07-04
Koshi St. James Higher Secondary School Itahari,Itahari,Dharan,Nepal,"025-584657,586192",,koshischool@koshistjames.edu.np,,www.koshistjames.edu.np,,2011-07-04
Koteshwor Multiple Campus,Koteshwor,Kathmandu,Nepal,"00977-1-4470306,4481945","13239,Ktm",,,,,2009-11-07
Kumarbarti Banijya Campus,Nawalparasi,Nawalparasi,Nepal,078-540115,,,,,,2009-11-07
L. R. International College,Kalankisthan,Kathmandu,Nepal,"00977-1-4271188,4278515","4081,Ktm",lri@enet.com.np,,www.lrischool.edu.np,,2009-11-07
L.A. College of Management,Hattiban,Kathmandu,Nepal,00977-1-5250777,"8322,Ktm",las@wlink.com.np,,,	00977-1-5250888,2009-11-07
La Grandee International College,Simalchaur,Pokhara,Nepal,061-523163,,,,www.lagrandee.edu.np,,2010-12-17
Lahan Campus,Lahan,Siraha,Nepal,033-560252,,,,,,2009-11-07
Lalit Shikshya Campus,Pulchowk,Kathmandu,Nepal,00977-1-5534181,,,,,,2009-11-07
Lalitkala Campus,Bhotahity,Kathmandu,Nepal,00977-1-4249681,,,,,,2009-11-07
Lalitpur Engineering College,Chakupat,Lalitpur,Nepal,"5260215,5260216",,info@lec.edu.np,,www.lec.edu/np,	5260215,2016-08-28
Lalitpur Nursing Campus,Sanepa,Lalitpur,Nepal,"5521634,5526490","21885,Ktm",lnc@mail.com.np,,www.lnc.edu.np,	5529476,2009-11-07
Lalitpur Valley College,Jawalakhel,Lalitpur,Nepal,"5523321,5533857","12088,Ktm",contact@lvc.edu.np,,www.lvc.edu.np,	5533857,2009-11-07
Lamjung Campus,"Lamjung,Sundarbazar",Lamjung,Nepal,066-529313,,,,,,2009-11-07
Liberty College,Anamnagar,Kathmandu,Nepal,00977-1-4222612,"10407,Ktm",info@libertycollege.edu.np,,www.libertycollege.com.np,	00977-1-4227386,2010-07-11
Lincoln College,Gongabu,Kathmandu,Nepal,"00977-1-4382774,4363024/25",,,,www.lincolncollege.edu.np,,2009-11-07
Little Angels' College of Management,Hattiban,Kathmandu,Nepal,"00977-1-5250123,5250777","8322,Ktm",info@lacm.edu.np,,www.lacm.edu.np,	00977-1-5250888,2010-04-27
Little Buddha College of Health Science,Chabahil,Kathmandu,Nepal,"00977-1-4486475,4499270",,,,,,2009-11-07
Little Buddha College of Health Science,Min-Bhawan,Kathmandu,Nepal,"00977-1-4784458,4784459",,,,,,2017-07-14
Liverpool International College,NewBaneshwor,Kathmandu,Nepal,"00977-1-4781230,4780902,4782509","14313,Ktm",info@liverpool.edu.np,,www.liverpool.edu.np,	00977-1-4781974,2011-06-19
Lord Buddha College,Maharajgunj,Kathmandu,Nepal,"00977-1-4721514,4720178","12787,Ktm",lordbuddha@wlink.com.np,,,	00977-1-4720052,2009-11-07
Lord Buddha Education Foundation,Maitidevi,Kathmandu,Nepal,"00977-1-4411805,4424431",,info@lbef.org,00977-9801110200,www.lbef.edu.np,	00977-1-4443468,2009-11-07
Lord Buddha Education Foundation,HanumanDasRoad,Biratnagar,Nepal,526113,,info@lbef.org,,www.lbef.org,,2009-11-07
Lord Buddha Education Foundation,BhanuChowk,Janakpur,Nepal,041-523887,,info@lbef.org,,www.lbef.org,,2009-11-07
Lord Buddha Education Foundation,Birgunj,Birgunj,Nepal,526555,,info@lbef.org,,www.lbef.org,,2009-11-07
Lord Buddha Education Foundation,NewBaglungBuspark,Pokhara,Nepal,061-535735,,info@lbef.org,,www.lbef.org,,2009-11-07
Lord Buddha Educational Academy (Nepalgunj Medical College),"Chisapani,Banke",Nepalgunj,Nepal,"081-521572,522932,520834",,ngmc_npj@wlink.com.np,,www.ngmc.edu.np,	081-521152,2009-11-07
Lord Buddha HRD Academy,BhanuChowk,Janakpur,Nepal,"041-523887,523987,520225",,lbha@lbef.org,,www.lbef.org,,2009-11-07
Loyala International College,NewBaneshwor,Kathmandu,Nepal,"00977-1-4494143,016223236",,info@loyolacollege.edu.np,,www.loyolacollege.edu.np,,2009-11-07
LRI College,Kalankisthan,Kathmandu,Nepal,"00977-1-4271188,4278515,4276170","12773,Ktm",lri@enet.com.np,,,	00977-1-4302703,2010-07-29
Lumbini Academic College,Chabahil,Kathmandu,Nepal,"00977-1-4482778,6223907",,,,,,2010-07-11
Lumbini Commerce Campus,Butwal,Bhairahawa,Nepal,071-540500,,,,,,2009-11-07
Lumbini Engineering College,"Butwal,Rupandehi",Bhairahawa,Nepal,"071-561959,561030",,lumbiniec@gmail.com,,www.lumbini.edu.np,	071-561959,2009-11-07
Lumbini International College,Mahalaxmisthan,Kathmandu,Nepal,"00977-1-5527054,5531846",,lic@vianet.com.np,,www.lic.edu.np,,2009-11-07
Lumbini Medical College,Tansen,Palpa,Nepal,"075-520840,522217",,lmcpalpa@gmail.com,,www.lmc.edu.np,	075-522755,2010-01-25
Lumbini Medical College,Dhungedhara,Kathmandu,Nepal,00977-1-4880841,,info@lmc.edu.np,00977-9841665301,www.lmc.edu.np,,2010-09-13
