Name,Address,P.O.Box,Phone,Mobile,Email,Webpage,Fax,Country
Janapriya Multiple Campus,Simalchaur,,"522287,531822,535287",,,,,
Janata Adarsha Multiple Campus,Morang,,523900,,,,,
Janata Bahumukhi Campus,Itahari,,580064,,,,,
Janata Campus,Punarbas,,099-529202,,,,,
Janata Law Campus,Biratnagar,,523900,,,,,
Janata Multiple Campus,"Itahari,Sunsari",,581300,,,,,
Janata Sudarshan Campus,Parbat,,067-420322,,,,,
Janata Vidhyapeeth,Dang,,082-521107,,,,,
Jaya Multiple Campus,Jorpati,,"4910340,4910881",,,,,
Jaya Prithvi Campus,Bajhang,,092-421075,,,,,
Jubilant College,Kalimati,26234,"4272725,4272511",,info@jubilantcollege.edu.np,www.jubilantcollege.edu.np,,
Jubilant College Affiliated To HSEB & TU,Kalimati,,"4272511,4272725",,,,,
Jumla Campus,Jumla,,"087-529315,529311",,,,,
Jwala Prasad Shyo Bai Devi Murarka Campus,"Lahan,Siraha",,033-560252,,,,,
K Adn K College,NewBaneshwor,,4474557,,,,,
K.I. College,NewBaneshwor,,4783619,,,,,
Kadambari Memorial College of Science & Management,Sankhamul,15142KPC395,"2030346,4782982",,kmcollege@websurfer.com.np,,4787442,
Kailali Mulitple Campus,Dhangadi,,"091-521223,521122",,,,,
Kalika Campus,Rambazar,,524385,,,,,
Kalika M. College/School,"PokharaUnit,Kaski,GandakiZone",,(061)520145,,kalikamlt@gmail.com,,,Nepal
Kamana International College,"Banasthali,Dhungedhara",,"4880422,4880419",,,,,
KandK College,"NewBaneshwor,Kathmandu",,014497515,,info@kandk.edu.np,www.kandk.edu.np,,Nepal
Kanjirowa national School,Balkumari,,4601004,,,,,
Kankai Campus,"Birtamod,Jhapa",,"023-540095,540055",,,,,
Kantipur City College,Putalisadak,"12837,Ktm","4430239,4437093",,admin@kcc.edu.np,www.kcc.edu.np,4441417,
Kantipur City College,Putalisadak,12837,"4437093,4430239",,rajukattel@kcc.edu.np,www.kcc.edu.np,+97714441417,
Kantipur College of Business Management & Humanities Studies,Nayabaneswor,,"4474557,4497515",,info@kand.edu.np,,,
Kantipur College of Management & Information Technology,NewBaneshwor,,4479939,,kcmit@wlink.com.np,www.kcmit.edu.np,,
Kantipur College of Medical Science,Sitapaila,"14121,Ktm",4279723,,,,4302891,
Kantipur Dental College Teaching Hospital & Research Centre,Dhapasi,,"4385910,4385911,2151490",,ksdktm@gmail.com,www.kantipurdental.edu.np,4385912,
Kantipur Engineering College,Dhapakhel,"8849,Ktm","5571004,5571005",,admin@kec.edu.np,www.kec.edu.np,5570344,
Kantipur Engineering College,"Dhapakhel,Lalitpur",8849,"5571004,5571005",,admin@kec.edu.np,www.kec.edu.np,+97715570344,
Kantipur Hotel Management & Interior Designer College,Buddhanagar,,"4780564,4783904",,khmc@wlink.com.np,,4785214,
Kantipur School of Health Science,newroad,,"538334,530725",,kdhpkr@hotmail.com,,,
Kantipur Valley College,Kumaripati,,5538233,,jm_amatya@hotmail.com,,5538010,
Kanya Campus,Biratnagar,,523270,,,,,
Kanya Campus,Pokhara,,522256,,,,,
Kanya Multiple Campus,Dillibazar,,"4418118,4417130",,,,,
Kapilvastu Multiple Campus,Taulihawa,,"076-560329,560181",,,,,
Karnali College of Health Science,Ratopul,,"4481967,4470205",,info@karnalicollege.edu.np,www.karnalicollege.edu.np,,
Kasthamandap HSS/College,Kalanki,5817,"4288965,4289257",,kasthamandapcollege@gmail.com,www.kasthamandapcollege.edu.np,,
Kathford International College of Engineering & Management,Balkumari,,"5201241,2050226",,info@kathford.edu.np,www.kathford.edu.np,,
Kathmandu Academy,Sanogaucharan,,"4410485,4410235",,info@ktm.edu.np,www.ktm.edu.np,,
Kathmandu Academy of Tourism & Hospitality,Kalimati,"3310,Ktm","4275261,4270330",,info@kathtourism.edu.np,www.kathtourism.edu.np,4275176,
Kathmandu Academy Society of International Studies,SanoGaucharan,,4410235,,info@ktm.edu.np,www.ktm.edu.np,,
Kathmandu Barsha College,Tinkune,,"4471304,4471305,4111502",,prakash_42@hotmail.com,www.barshacollege.edu.np,,
Kathmandu BernHardt College,Balkhu,,"4036106,4036107",,bernharddt@wlink.com.np,www.bernhartdt.edu.np,,
Kathmandu Business School,Pingalsthan,,"4494763,4471787",,,,,
Kathmandu Campus,Ratopul,,"2003830,2003831",,barsha@wlci.in,,,
Kathmandu Campus,Thapathali,,4265828,,info@kathmanducampus.edu.np,,,
Kathmandu Campus,Birgunj,,"522122,523822",,info@kathmanducampus.edu.np,www.kathmanducampus.edu.np,,
Kathmandu Central College (KCC),NewBaneshwor,,"4467468,2230027",,,,,
Kathmandu College of Management,Gwarko,"11154,Ktm","5201997,5200746",,kcm@kcm.edu.np,www.kcm.edu.np,5201434,
Kathmandu Collegen Of Management,Gwarko,,5550434,,,,,
Kathmandu Community College,Sorakhute,,4358019,,,,,
Kathmandu Don Bosco Higher Secondary School & College,Balkumari,,4601004,,kdbc@mos.com.np,www.kathdonbosco.edu.np,,
Kathmandu Engineering College,Kalimati,"3928,Ktm","4284902,4276130",,info@keckist.edu.np,www.keckist.edu.np,,
Kathmandu Forestry College (KAFCOL),Koteshwor,"9594,Ktm",4600343,,kafcol@wlink.com.np,www.kafcol.edu.np,4602305,
Kathmandu Institute of Science & Technology (KIST),Kamalpokhari,"3928,Ktm","4434990,4434178",,kist@info.com.np,www.kist.edu.np,,
Kathmandu Medical College,Sinamangal,21266,"4469064,4476152",,kmc@healthnet.org.np,www.kmc.edu.np,4477920,
Kathmandu Model College,Kamaladi,"4470,24570","4242121,4242015",,kmc@wlink.com.np,www.ktmmodelcollege.edu.np,4269774,
Kathmandu Model School,Shankhamul,"24726,Ktm","4782634,4782016",,"kmc@wlink.com,np",www.ktmmodelcollege.edu.np,4269774,
Kathmandu Pragya Kunja College,"KritiMarga,Koteshwor",8973NPC870,6914739,,info@kpkc.edu.np,kpkc.edu.np,4602396,
Kathmandu School of Law (KSL),Tinkune,,2042268,,,,,
Kathmandu School of Law (KSL),Dadhikot,,"6634455,6634663",,info@ksl.edu.np,www.ksl.edu.np,6634801,
Kathmandu School Of Law (KSL),Dadhikot,,6634455,,,,,
Kathmandu School of Medical Technology,Bagbazar,,"4245537,4244142",,,www.ksmt.edu.np,4246837,
Kathmandu Shichha Campus,Putalisadak,,4230240,,,,,
Kathmandu University,Dhulikhel,,"661399,661511",,info@ku.edu.np,www.ku.edu.np,661443,
Kathmandu University Centre for Art & Design,Mandikhatar,"21990,Ktm",016916628,,kuart@wlink.com.np,www.kuart.edu.np,,
Kathmandu University School of Management (KUSOM),Balkumari,"6250,Ktm","5548891,5544078",,info@kusom.edu.np,www.kusom.edu.np,5533814,
"Kathmandu University School of Science, Management",Dhulikhel,"6250,Ktm","661399,663199",,kusom@wlink.com.np,,,
Kathmandu Valley College,Chhauni,"25129,Ktm","4271562,4272429",,kvc@wlink.com.np,www.kvc.edu.np,,
Kathmandu Valley College,Chunni...,,4271562,,,,,
Kathmandu Valley College  Science & Management,Tahachal,5872,"4271562,",,kvc@enet.com.np,,00977-1-4278953,
Kavre Campus,"Banepa,Kavre",,661133,,,,,
Khwopa Engineering College,"Libali,Bhaktapur","84,Bkt","6614794,6614978",,khwopa@wlink.com.np,,6615202,
Khwopa Higher Secondary School,Chyamasingh,,"6610932,6614336",,,,,
King's College,OldBaneshwor,8973NPC122,4471162,,info@kingscollege.edu.np,www.kingscollege.edu.np,,
King's College,oldBaneshwor,8973,4471162,,info@kingscollege.edu.np,www.kingscollege.edu.np,,
Kist College of Information Technology,Kamalpokhari,3928,"4434990,4434178",,kist@info.com.np,www.kist.edu.np,,
Kist College of Management,KamalPokhari,,"4434990,4434178",,kist@info.com.np,,,
Kist Degree College,Kalamiti,,4284902,,,,,
Kitini Higher Secondary School & College,Godawari,,5560564,,,,,
Kits College of Nursing,DilliBazar,,"4221875,4780517",,,,,
Kits College of Science and Management,Kamaladi,,"4221875,4251409",,,,,
KITS College/HIC,Kamaladi,,"4221875,4251409",,,,,
Kits Educational Foundation,Kamaladi,,"4221875,4251409",,,,,
KMC,Bagbazar,,,,,,,
Koshi Campus,Morang,,528537,,,,,
Koteshwor Multiple Campus,Koteshwor,"13239,Ktm","4470306,4481945",,,,,
Kumarbarti Banijya Campus,Nawalparasi,,078-540115,,,,,
Kumari Multiple Campus,Baudha,10556,"4466821,4470408",,info@kumari.edu.np,www.kumari.edu.np,,
L. R. I. College,Kalankisthan,"4081,Ktm","4271188,4278515",,lri@enet.com.np,www.lrischool.edu.np,4302703,
L.A. College of Management,Hattiban,"8322,Ktm",5250777,,info@lacm.edu.np,,5250888,
Lahan Campus,Lahan,,033-560252,,,,,
Lalit Multiple Campus,Pulchwok,,5534181,,,,,
Lalitkala Campus,Bhotahity,,4249681,,,,,
Lalitpur College,Kupondole,,"5524284,5522535",,info@lalitpurcollege.edu.np,www.lalitpurcollege.edu.np,5521219,
Lalitpur Nursing Campus,Sanepa,"21885,Ktm","5521634,5526490,5529476",,lnc@mail.com.np,www.lnc.edu.np,5529476,
Lalitpur Valley College,Jawalakhel,"12088,Ktm",5523321,,contact@lvc.edu.np,www.lvc.edu.np,5533857,
Lamjung Campus,"Lamjung,Sundarbazar",,066-529313,,,,,
LBEF A Student Capital Campus,Maitidevi,,"4411805,4444356",,admin@lbef.org,,977-1-4443468,
Liberty College,"Pragatimarga,Anamngar",10407,4222612,,rishi.chapagai@libertycollege.edu.np,www.libertycollege.edu.np,,
Liberty College,Anamnagar,"10407,Ktm",4222612,,info@libertycollege.edu.np,,,
Lincoln College,Gongabu,,"4382774,4363024/25",,,,,
Little Buddha College of Health Science,Gyaneshwor,,"4424319,4423600",,,,,
Local Development Training Academy,Jawalakhel,,"5521051,5525346",,,,,
London College Of Business & Computing,Maharajgunj,,4421933,,,,,
Lord Buddha College,Maharajgunj,,"4429514,4424152",,,,,
Lord Buddha Education Foundation,Maitidevi,,"4411805,4424431,4444356",,info@lbef.org,www.lbef.edu.np,4443468,
Lord Buddha Education Foundation,HanumanDasRoad,,526113,,info@lbef.org,www.lbef.org,,
Lord Buddha Education Foundation,BhanuChowk,,523887,,info@lbef.org,www.lbef.org,,
Lord Buddha Education Foundation,Birgunj,,526555,,info@lbef.org,www.lbef.org,,
Lord Buddha Education Foundation,NewBaglungBuspark,,535735,,info@lbef.org,www.lbef.org,,
Lord Buddha Educational Academy (Nepalgunj Medical College),RamshahPath,"1011,Ktm","4434908,4433073",,lbea@enet.com.np,www.ngmc.edu.np,4430413,
Lord Buddha Educational Academy (Nepalgunj Medical College),"Chisapani,Banke",,"521572,522932,520834",,ngmc_npj@wlink.com.np,www.ngmc.edu.np,521152,
Lord Buddha HRD Academy,BhanuChowk,,"523887,523987,520225",,lbha@lbef.org,www.lbef.org,,
Loyala College,Batisputali,,4473505,,,,,
Loyala International College,NewBaneshwor,,"4494143,016223236",,info@loyolacollege.edu.np,www.loyolacollege.edu.np,,
Lumbini Commerce Campus,Butwal,,540500,,,,,
Lumbini Engineering College,"Butwal,Rupandehi",,"561959,561030",,	lumbiniec@yahoo.com,,561959,
Lumbini ICT College,Gaindakot33000,,078502188,,,,,Nepal
Lumbini International College,Mahalaxmisthan,8975EPC5666,"5527054,5531846",,licalevel@gmail.com,www.lic.edu.np,,
M & M Academy of Computer Science,"RamshahPath,Kathmandu",,014419462,,mmcomputer2002@hotmail.com,,,Nepal
Machhapuchhre Sichha Campus,Pokhara,,529303,,,,,
Madan Bhandari Memorial College,"Binayaknagar,NewBaneshwor",,4464775,,mbmcollege@wlink.com.np,www.mbmc.edu.np,,
Mahakali Campus,Kanchanpur,,099-529212,,,,,
Mahakavi Devkota Campus,Nawalparasi,,078570049,9857028694,mdc60_edu@yahoo.com,,,Nepal
Maharaja Agrasen Faculty of Management,KediaSewaGram,"20,Birgunj","528793,522092,522297",,kedia@atcnet.com.np,,522056,
Mahendra Adarsha Vidyashram,Satdobato,,"5521486,5550598",,,,,
Mahendra Bindeshwori Campus,Rajbiraj,,031-520292,,,,,
Mahendra Campus,Baglung,,520113,,,,,
Mahendra Morang Multiple Campus,Morang,,"522916,526791,525436",,,,,
Mahendra Multiple Campus,Baglung,,068-520113,,,,,
Mahendra Multiple Campus,Dang,,082-560035,,,,,
Mahendra Multiple Campus,CollegeRoad,,"520150,521546",,,,,
Mahendra Multiple Campus,Nepalgunj,,"520278,525578",,,,,
Mahendra Ratna Campus,Tahachal,"1048,Ktm",4271728,,,,,
Mahendra Ratna Multiple Campus,Ilam,,027-520020,,,,,
Mahendra Sanskrit Research Centre,Basantapur,,4247445,,,,,
Mahendra Sanskrit University,Dang,,082-520965,,,,,
Mahendra Sanskrit University,Basantapur,"5003,Ktm","4221510,4247445,4247490",,,,4221510,
Mahendranagar Medical College,Mahendranagar,,"099-524949,524514",,,,,
Mahendrodaya Campus,Ramechap,,048-520321,,,,,
Mahesh Sanskrit Gurukulam Vidhyapeeth,Devghat,,075-529418(PCO),,,,,
Mahsa University College,KualaLumpur,,"+603-20929999,+603-20929915",,shashikumar@mahsa.edu.my,www.mahsa.edu.my,+603-20931599,
Makwanpur Multiple Campus,Hetauda,,520620,,,,,
Malpi Institute,Gairidhara,8975EPC4222,"4427540,4410482,4004636,4004647",,mi@mail.com.np,,,
Malpi International College,Baluwatar,8975EPC4073,"4442066,4442067,4442068",,mic@mos.com.np,www.mic.edu.np,4442069,
Management Campus,Biratnagar,,524752,,mgcampus@ccsl.com.np,,,
Management College in Nepal,"BuddhaNagar,Kathmandu",25840,4780894,,mail2pbs@gmail.com,www.presidential.edu.np,,Nepal
Manamohan Memorial College,Sorakhutte,"19371,Ktm","4360271,2090603",,manamohan@mos.com.np,,,
Mangal Multiple Campus,Kirtipur,,"4330544,4335560",,,,,
Manipal College,Kathmandu,,4277819,,,,,
Manipal College of Medical Sciences,Pokhara,"155,Pkr","440600,440387",,mcoms@mos.com.np,,440260,
Manmohan Memorial Institute of Health Sciences,Lalitpur,,"5551160,5551011",,mmiohs@gmail.com,www.mmihs.edu.np,5555311,
Manohar Shahid Smarak Campus,Gongabu,,4353982,,,,,
Marshyangdi Campus,Lamjung,,066-520213,,,,,
Matru Entrance Academy,Putalisadak,,"4168187,4168317,2042781",,matruacademy@gmail.com,,,
MB Kedia Dental Institute,KediaSewaGram,"77,Birgunj",528729,,,,,
Mechi Multiple Campus,Bhadrapur,,023-520044,,,,,
Medicine Campus,RamGhat,,520438,,,,,
Mega college,Babarmahal,13325,"4252488,4239450",,info@nepalmegacollege.edu.np,www.nepalmegacollege.edu.np,,
Merryland College,Teenkune,"10473,Ktm",2050311,,,,,
Metro College,NewBaneshwor,,"4474114,4472385",,,,,
Metropolises Colleges,Biratnagar,,525344,,,,,
Metropolitain Higher Secondary School & College,NewBaneshwor,,4474114,,,,,
Microbit International College,SrijanaChowk,,531288,,anmalgrg@ntc.net.np,,,
Milestone Int'l College,Balkumari,12671,"5539060,5547582",,info@milestone.edu.np,www.milestone.edu.np,,
Millennium National Model Educational Center,Lainchour,,"4423706,4422050",,,,,
Model College of Management,Janakpur,,523666,,,,,
Modern collage of Management,Bhaktapur,,6632927,,info@mcm.edu.np,www.mcm.edu.np,,
Modern Nepal College,Putalisadak,"8975,5929","4248219,2020052,4240028",,mnc@vianet.com.np,www.mncollege.edu.np,,
Modern Nepal College,Bagbazar,8975EPC5929,"4252289,4240028",,mncb03@yahoo.com,www.mncollege.edu.np,,
Molihss  Moonlight Higher Secondary School,"PrayagPokhari,Lagankhel","5524311,5527525","8975,2982",,info@molihss.edu.npcc,http;\\www.molihss.edu.np,977-1-5524311,
Morgan  International College,Basundhara,,4354088,,,,,
Morgan International College,Basundhara,,"4354088,4356876,4389516",,info@morgancollege.edu.np,www.morgencollege.edu.np,4389339,
Mount Annapurna Campus,Poolbari,"443,Pkr","522650,532636",,macpkr@cnet.net.np,,,
Myagdi Campus,BeniBazar,,069-520109,,,,,
Myaglung Campus,"Myaglung,Tehrathum",,026-460120,,,,,
NAAST College,Dharan,,525651,,,,,
Nagrajun International School,Kupondole,,5546359,,,,,
Namuna College of Fashion Technology,Bansbari,8975EPC4144,"4377201,4377897",,ncft@wlink.com.np,www.namuna.edu.np,,
Namuna Collegen Of Fashion Technology,"Bansbari,Kathmandu",8975,"4377201,4377897",,info@wlink.com.np,www.namuna.edu.np,,
Narendra Budhi Bhakta Adarsha Campus,Lamjung,,066-529305,,,,,
NAS Institute,NewBaneshwor,,"4785286,4785287",,info@nasa.edu.np,,,
Nasa International College,Gairigaun,10315,"4460379,4498538,4479850",,info@nasacollege.com,,4479850,
Nasa International Education Network,Tinkune,,"4460397,4479849",,info@nasacollge.com,www.nasacollege.com,,
Natinal College,Baluwater,,4429871,,,,,
Natioanal Campus,BalkumariLalitpur,14350,"5201331,5201334",,pwn@hotmail.com,www.nationalcampus.edu.np,,
Natioanal Open College,SanepaLalitpur,"1665,8975","55480899,550326",,info@noc.edu.np,www.noc.edu.np,,
National Academy for Engineering Edcuation,Kupondole,,"5539152,5548811",,gghimire74@yahoo.com,www.naee.edu.np,,
National Academy for Medical Education(NAME),Putalisadak,,"4231144,4244895",,,,,
National Academy of Applied Science & Technology,Dharan,,525651,,,,,
National Academy of Science & Commerce,Sunsarimaisthan,,523215,,,,,
National Academy of Science & Technology (NAST),Dhangadhi,,091-521312,,,,091-523949,
National Campus,"Imadole-5,BalKumari",2021,5201331/34,,nationalcampus@nationalcampus.edu.np,www.nationalcampus.edu.np,5201641,
National Campus for Business Studies,Kamalpokhari,"14350,Ktm","4412684,4411298,4417109",,,,,
National College Center For Development Educational,Baluwater,,4420871,,,,,
National College Center For Development Studies,Baluwater,13543,"4420871,4440410",,ukeshbhuju@hotmail.com,www.nche.edu.np,,
National College Centre for Development Studies,Baluwatar,,"4420871,4440410",,menavinjha@yahoo.com,www.nche.edu.np,,
National College for Advanced Learning,Lainchour,,"4423706,4422050",,,,,
National College of Accountancy (NAC),Baneshwor,,"4495045,4465032",,,www.nca.edu.np,4471736,
National College of Computer Studies (NCCS),Paknajol,,"4251711,4267961,4228807",,info@nccs.edu.np,www.nccs.edu.np,,
National College of Computer Studies (NCCS),Paknajol,,"4251711,4267961",,info@nccs.edu.np,www.nccs.edu.np,,
National College Of Computer Studies (NCCS),Kantipath,,4243957,,,,,
National College of Engineering,BanasthaliChowk,"8908,Ktm","4356571,4350270",,ncollege@ncts.com.np,www.ncts.com.np,4273563,
National College of Technical Sciences,BanasthaliChowk,"8908,Ktm","4350270,4357328",,ncollege@ncts.com.np,www.ncts.com.np,4273563,
National Institute Of Nursing Educational,Putalisadak,,4219985,,,,,
National Institute of Science & Technology,Lainchour,,"4423706,4422050",,,,,
National Institute Of Science (NIS) Patan,Bakhudole,,5532854,,,,,
National Integrated College (NIC),Charkhal,,"4442098,4442722,4481967",,niccollege@wlink.com.np,www.nic.edu.np,,
National Medical College,Birgunj,,"532260,522915,522918",,,,532226,
National Multiple College,Satdobato,,"5544367,5538025",,nnc.gmp@ntc.net.np,,,
National multipul College Medical Science,Satdobato,,5544367,,,,,
National Open College (NOC),Sanepa,8975EPC1665,"5548098,5520326",,noc@ntc.net.np,www.noc.edu.np,5520326,
National School of Sciences,Lainchour,"8659,Ktm","4423706,4422050,4435408",,,www.nist.edu.np,4428724,
National View College,ThapaGaun,,4474114,,,,,
National Vision Nursing Campus,NewBaneshwor,,4472667,,,,4470938,
Nava Jeewan HSS & College,Samakhushi,13544,"4364150,4352173",,navajeewan@yahoo.com,www.navajeewan.com,,
Navadurga Multiple Campus,Bhaktapur,,"6610202,6612067",,,,,
Navodit Commerce College,Samakhusi,,"4351350,4360281",,,,,
"NCA, National College Of Accountancy",Kathmandu,,"4495045,4465032",,,,,
Nepal Academy of Tourism & Hotel Management,Rabibhawan,,"4270073,4270605",,nathm@mos.com.np,www.nathm.edu.np,4271780,
Nepal Academy Of Tourism & Hotel Management (NATHM),"Rabibhawan,KalimatiKathmandu",4715,"4270073,4271780",,gbkarki@yahoo.com,www.nathm.edu.np,977-1-4271780,
Nepal Adarsha Campus,Wailing,,063-440219,,,,,
Nepal Administrative Staff College,Jawalakhel,,"5522160,5523517,5522002",,,,,
Nepal Baptist Bible College,"Imadol,Lalitpur",8975EPC1051,"5201593,2221216",,nbbcnepal@gmail.com,www.nbccnepal.org,,
Nepal Bebasthapan College,Anamnagar,,"4224475,4240475",,man@man.org.np;ed@man.org.np,www.man.org.np,4240475,
Nepal College of Engineering & Management,OldBaneshwor,,"4109181,4109183",,infoncem@gmail.com,,4109183,
Nepal College of Information Technology,Balkumari,,"5006354,5006356",,info@ncit.net.np,www.ncit.net.np,5006360,
Nepal College of Information Technology,Balkumari,"8975,EPC1525","5006354,5006270",,info@ncit.net.np,www.ncit.net.np,5006360,
Nepal College of Management,Dhobighat,"1138,Ktm","5540752,016915638",,ncm@wlink.com.np,www.ncm.edu.np,,
Nepal College of Travel & Tourism Management,Naxal,"9689,Ktm.",4413097,,ncttm@ncttm.com,www.ncttm.com,4242573,
Nepal Commerce Campus,MinBhawan,,4482748,,info@ncc.edu.np,,,
Nepal Engineering College,Changunarayan,"10210,Ktm","6611744,2071153",,info@nec.edu.np,www.nec.edu.np,6611681,
Nepal Homoeopathic Medical College,RangeliRoad,,533933,,homoeopathic@wlink.com.np,www.nepalpages.com/nepalhomoeopathic,,
Nepal Institute of Health Science,Boudha,"21749,Ktm","4470224,4471676",,stupa@healthnet.org.np,,4493646,
Nepal Institute of Management & Science (NIMS),Lagankhel,,5535872,,,,,
Nepal Law Campus,ExhibitionRoad,"1247,Ktm",4225358,,,,,
Nepal Medical College,"Attarkhel,Jorpati",,4486008,,,,4912118,
Nepal Mega College (Mega Center For excellence),Babarmahal,,"4252488,4239450",,info@nepalmegacollege.com,www.nepalmegacollege.com,,
Nepal School of Nursing,MohoriyaTole,"359,Pkr",520935,,nsonpokhara@wlink.com.np,,,
Nepal Science Campus,Putalisadak,,4228681,,,,,
Nepal Tourism & Hotel Management College,Chhinnedanda,"202,Pkr","432333,431678",,	tohtlmgt@fewanet.com,www.tourhotelmgt.edu.np,432222,
Nepal Vidythapeeth,Maitidevi,,"4411805,4424431",,mite@lbef.org.,www.lbef.org.,4443468,
Nepalgunj Medical College,B.PChowk(HeadOffice),,"521572,522932,520834",,ngmc_npj@wlink.com.np,,521152,
Nepalgunj Medical College,Ramshahpath,"1011,Ktm","4434908,4433073",,lbea@enet.com.np,,4430413,
Nepalgunj Nursing Campus,Nepalgunj,,520950,,,,,
Neuro Health College,Biratnagar,,535464,,,,,
New Leera College,Bhatbhateni,,4411508,,,,,
NIC College,Dillibazar,,"4442098,4442722",,niccollege@wlink.com.np,www.nic.edu.np,,
Nicholson College (HSS),Sallaghari,"54,Bkt","6610662,6615931",,nicholson@enet.com.np,,,
Nightingale College,Kupondole,,"5535663,5541420,5551829",,,www.nightingale.edu.np,,
Nil Kantha Campus,Dhading,,010-520106,,,,,
NiMS Collage,Lalitpur,,5538017,,,,,
NIMS College,Lagankhel,,5535872,,,,,
NIST College,Patan,,5532854,,,,,
Nist Higher Education Complex,Naybazar,,"4360096,4360367,016224343",,,,,
Nobel College,NewBaneshwor,,"4781401,4781515",,info@nobel.edu.np,,4476990,
Nobel Institute (P) Ltd.,Putalisadak,"20650,Ktm","4248417,4261374",,info@nobelinst.com,www.nobelinst.com,4245333,
Nobel Medical College,Kathmandu,"20650,Ktm","9851084282,9741136412",,info@nobelmedicalcollege.com,www.nobelmedicalcollege.com,,
Nobel Medical College,Morang,"278,Brt",460736Ext.812,,hosdir@nobelmedicalcollege.com,www.nobelmedicalcollege.com,460624,
NTP Tourism Affairs (P.) Ltd.,Kantipath,,"4266611,4254104/06",,info@iataacademy.com,www.iataacademy.com,,
Nursing Campus,Nepalgunj,,520160,,,,,
Nursing Campus,Maharajgunj,,"4720423,4721266",,,,,
Nursing Campus,Biratnagar,,522882,,,,,
Nuwakot Adarsha Campus,"Battar,Nuwakot",,010-560157,,,,,
Okhaldhunga Campus,Okhaldhunga,,"037-520249,520217",,,,,
Olympia Educationa Foundation,"Babarmahal,Kathmandu",,"4220449,4220265",,manoj@oliyampia.edu.np,www.olympia.edu.np,,
Olympia World College (Olympia Education Foundation),Babarmahal,,"4220449,4220265",,admissions@olympia.edu.np,www.olympia.edu.np,,
Om Health Campus Pvt. Ltd.,Chabahil,,"4465451,4465453",,,www.omcampus.com.np,,
Om Mahavidhalaya,"Santpur,Rautahat",,055-540185,,,,,
Omega International Collage,Kumaripati,286,5550563,,info@omega.edu.np,www.omega.edu.np,,
Orbit Int'l College,"Khasibazar,Kalanki",8974CPC471,4286231,,info@orbit.edu.com,www.orbit.edu.np,4441275,
Orient College,Maharajgunj,,"4721445,4720158,4720651",,info@orientcollege.com,www.orientcollege.com,,
Orient College (A Level Cambridge University),Maharajgunj,,"4721445,4720158,4720651",,info@orientcollege.com,,,
Oxbridge International H.S. School,"Mahalaxmisthan,Lagankhel","348,lalitpur",5523711,,info@oxbridge.edu.np,www.oxbridgeedufoundation.com,0977-1-5531171,
Pacific Hospitality and Culinary Academy,"Setopool,Maitidevi,Kathmandu",,014419231,9851183291,pacifichcacademy@gmail.com,www.pacifichospitality.academy,,Nepal
Padhmashree Int'l College,Sitapaila,,2111404,,,,,
Padma Kanya Multiple College,Bagbazar,,"4221712,4224149",,pkcampus@wlink.com.np,,4258113,
Padmashree International Collage,Tinkune,15252,"4112252,4112403",,info@padmashreecollege.edu.np,www.padmashreecollege.edu.np,,
Paklihawa Campus,Rupandehi,,"520580,520191",,,,,
Palhi Campus,Nawalparasi,,078-520147,,,,,
Panchthar Campus,"Phidim,Panchthar",,024-520159,,,,520075,
Panini Campus,Arghankhanchi,,077-420206,,,,,
Pasang Lhamu Sherpa Memorial College,Gongabu,,4363000,,,,,
Paschimanchal Campus,Pokhara,,"520463,440093,440958",,,,,
Paschimanchal Engineering Campus,Pokhara,,520093,,,,,
Pashchimanchal Higher Secondary School,Gairapatan,"502,Pkr",527444,,pahss@fewanet.com.np,,,
Pashupati Multiple Campus,Chabahil,,"4470412,4468363/364",,,,,
Patan Multiple (Samyukta) Campus,PatanDhoka,"8554,Ktm","5521394,5526394",,,,5548469,
Patan Nursing Campus,Manbhawn,,5521634,,,,,
Pathibhara Campus,Taplejung,,024-460228,,,,,
Pentagon International College,Tinkune,,"4462745,4112324,4112325,4112422",,info@pentagonintl.com,"www.pentagon.edu.np,www.pentagonintl.com",,
People's Campus,Pakanajol,"20336,Ktm","4251990,4251412",,pcampus@wlink.com.np,,4257506,
People's Dental College & Hospital,Nayabazar,"21613,Ktm","4359181,4358937",,pdch@wlink.com.np,www.pd.ch.com.np,4359032,
Phulchowki Mahavidhalaya,Thaiba,,5560582,,,,,
Pindyeswor Vidhyapeeth,Dharan-14,,520285,,,,,
Pinnacle College,Lagankhel,,"5544023,5544024,5524723",,adpinnacle@wlink.com.np,www.pinnacle.edu.np,,
Pinnacle Education Foundation,Lagankhel,,"5544024,5544023",,,,,
Pinnacle Educationa Foundation,"Lagankhel,Lalitpur",,"5544024,5544023",,tiwari_prishi@yahoo.com,,,
PIONEER PROFESSTIONAL ACADEMY,"NAMEPremises,NirvanaBuilding,Putalisadak,Kathmandu",,+977-01-4267099,+9779801019987,,,,Nepal
Platinum Management College,Kalikasthan,,4418046,,,,,
Pokhara Campus,Pokhara,,521689,,,,,
Pokhara College of Management Studies,NewRoad,,527128,,	pcm@phewamail.com.np,,527128,
Pokhara College of Technology,Simalchaur,"42,Pkr","523163,5534683,532844",,pct@mail.com.np,www.pct.edu.np,5539304,
Pokhara Engineering College,Phirke,"P.O.Box540,pkr",531209,,info@pec.edu.np,www.pec.edu.np,528530,
Pokhara Multiple Campus,Pokhara,,521113,,,,,
